Date,Temperature(C),Precipitation(mm),GHG_Emissions(metric_tons_per_capita),Humidity(%),Solar_Radiation(W/m^2),Windspeed(km/h),Atmospheric_Pressure(hPa),Cloud_Cover(%),Ozone_Concentration(DU),Sea_Level_Rise(mm),Season
01-01-2010,14.73018677,22.79079145,7.12809638,79.0789642,399.5115302,129.1315237,999.6868154,10.29504523,436.4636484,-1.248175823,spring
02-01-2010,23.90187895,62.40196952,4.956678882,43.86150416,262.3415016,66.59162941,1027.500893,18.30703463,236.3131394,25.6644231,spring
03-01-2010,18.6421292,160.7902604,7.044770585,29.62220092,1179.783982,55.21626128,1034.309567,67.72783426,214.2829903,26.67232718,spring
04-01-2010,27.16133813,125.160687,7.630188472,18.99196883,451.9654459,114.3457045,969.2389823,63.21409183,318.8260786,2.805405362,summer
05-01-2010,27.10836082,196.2802681,5.499595936,96.4565058,956.3224991,44.58302919,986.9334434,29.84335555,470.4905148,18.0760807,rainy
06-01-2010,13.38463407,4.995626347,8.279863029,39.22311665,516.9122936,49.18887587,1007.515973,93.65569695,371.1404285,-5.013454204,spring
07-01-2010,27.49893354,29.29934716,3.727791817,70.58032525,1143.985917,57.16368539,999.9379733,38.66160763,475.3369917,12.45696746,spring
08-01-2010,8.575054751,28.34240688,4.929989307,75.72684153,759.4899573,128.4537005,958.0418376,34.1365415,462.0292828,1.976456429,winter
09-01-2010,37.25772098,24.21012328,2.686870102,27.79147367,556.6256041,116.8673151,984.4964118,84.12475087,222.7868898,28.0230492,summer
10-01-2010,23.59239087,9.830613782,2.927415017,72.44226226,296.1664149,43.71268166,972.7522281,56.16637351,216.7221399,-4.557598282,spring
11-01-2010,-10.27800206,89.24883105,5.573190041,10.83799857,381.1391147,21.54185422,991.7267434,44.20414715,289.3449092,-4.59660523,spring
12-01-2010,6.915061416,55.90179534,7.5489855,47.63825787,1042.666323,58.91897714,983.7982063,54.47505591,464.9356288,20.85119477,spring
13-01-2010,26.84391207,46.56900259,1.138859677,41.53663507,162.6410155,93.68276192,1019.538259,71.6929627,351.4962449,2.477537525,spring
14-01-2010,29.60631103,29.60658361,6.177785185,93.95323747,272.5272117,101.4370443,990.14446,8.339538663,487.3779472,0.21063811,spring
15-01-2010,16.09279228,24.59381511,8.519995861,98.74226083,311.8919936,30.06451786,974.1526206,33.36528574,289.5771826,-1.618156853,spring
16-01-2010,21.57027234,77.19708125,8.957925245,35.91438252,177.7476646,37.41028532,1011.965063,86.05145371,333.9101351,0.11832739,spring
17-01-2010,27.25638812,37.41556551,4.655151965,64.90030178,854.2038885,139.5151829,1022.689123,73.25150576,207.7733788,29.56455944,spring
18-01-2010,33.11131552,46.78029641,1.840507822,77.06974674,1179.399064,57.75897224,960.8268228,7.372960196,462.1084132,8.149715083,spring
19-01-2010,29.07853569,5.268204418,7.00771376,27.19914409,253.1197524,47.12139531,975.1235571,46.02754142,247.9903791,0.01031143,summer
20-01-2010,14.39610477,31.88406498,6.331829899,71.79494371,978.8258686,104.3565363,970.8807404,30.79559991,495.9561321,-7.471546947,spring
21-01-2010,33.64284948,6.981211027,4.996272069,33.19304752,294.1559363,70.18156331,970.1087307,79.29187855,291.345954,-5.154663224,summer
22-01-2010,-1.733263074,2.766846594,4.142531881,25.19730094,1171.158647,37.02029157,1040.198365,14.38131932,483.5769724,16.27145032,winter
23-01-2010,17.20187478,58.44557137,6.01000724,86.5608508,657.7562786,61.39457325,962.6027395,14.489752,401.0951995,0.417288176,spring
24-01-2010,26.20043399,16.06633684,6.261773868,55.22312368,1032.267707,21.62929149,1037.113437,74.15995335,372.4714795,12.23570132,spring
25-01-2010,7.939414114,167.6969917,3.769657332,36.72674359,287.6115385,41.93455508,989.3904423,98.71458252,236.0714938,12.1082317,spring
26-01-2010,20.54967302,46.50665954,4.346112548,46.4226676,1073.782319,62.76938227,1014.08012,39.00051256,231.2402436,4.47853592,spring
27-01-2010,25.53307625,51.80470103,0.829557797,47.18537584,189.8031166,77.69908224,994.0948931,86.34973843,279.7673384,18.53732541,spring
28-01-2010,12.24221827,10.95900175,5.924453026,79.30309531,125.1814384,111.2486031,1009.874613,39.81036677,307.2547525,-8.668620054,spring
29-01-2010,21.90448072,6.898942631,6.243862047,89.80822754,879.8565454,57.74153872,1005.165551,65.67776556,385.0872784,6.682667736,spring
30-01-2010,7.77128715,37.26504205,1.311654772,52.80965376,217.1732149,81.85569855,993.294911,48.67254424,250.3495816,7.366005477,winter
31-01-2010,30.05629455,129.888832,4.68133568,39.05975621,1052.38215,142.6509448,977.502469,74.32401027,407.7628003,-5.018903041,summer
01-02-2010,25.33338645,2.867957173,3.428877665,75.4538187,783.4016221,122.7474438,1043.087178,5.72081181,216.827509,-9.388506162,spring
02-02-2010,27.38740561,35.48128163,8.423240987,91.47801334,464.0798074,35.55132376,1041.596735,54.95049593,459.5351545,11.36637646,spring
03-02-2010,19.30627871,11.07666117,1.19790572,20.26765705,405.0022782,32.02249978,957.1115517,99.83637715,463.1274308,1.787720187,spring
04-02-2010,3.340430199,76.15936088,8.359123377,81.71306389,190.1208395,99.40447475,972.3521164,75.15881029,468.845226,27.28691165,spring
05-02-2010,18.67271579,57.27713733,8.815607633,60.14546407,855.3886137,89.29949022,1007.406638,23.02324553,327.3763904,18.22755607,spring
06-02-2010,37.26148218,5.113071774,0,88.08445954,1108.730363,82.03094399,1048.044989,30.5689053,239.065615,-6.475348992,spring
07-02-2010,30.16372809,47.89956268,6.926357965,56.26944462,932.4491482,23.12561715,1022.743851,68.91732957,352.8828201,16.21766065,spring
08-02-2010,37.45303523,205.5241366,6.51997856,87.63182074,781.333893,54.39264731,1031.833659,14.8907287,427.5256289,25.01022624,rainy
09-02-2010,20.55320654,37.55355477,0.431669604,59.90356095,230.5790613,113.9055804,981.4222517,0.708953748,280.6994504,28.2756863,spring
10-02-2010,13.08094109,16.80503678,4.033948007,23.03940359,1010.39225,108.538211,971.8912728,77.28511632,400.1060132,2.50763398,spring
11-02-2010,25.86620166,8.25170757,3.694527746,10.44511938,1161.922306,24.77607166,972.5962197,59.94810255,205.6342038,7.518878885,summer
12-02-2010,18.07893673,228.501009,2.160784,65.80123639,389.0990499,64.02898245,998.3281885,67.28972751,443.7990453,15.81115918,spring
